"Number","Name","Seasonal_Status","Municipality","Total_Docks","Station_ID","Distance_to_Nearest_College","Distance_to_Nearest_College_km","Nearest_College","Distance_to_Nearest_MBTA","Distance_to_Nearest_MBTA_km","Nearest_Station","County","2023POP","Largest Age Group","Age Group Percentage","geometry"
"C32025","Ink Block - Harrison Ave at Herald St","Year Round","Boston",27,152,478.703005106869,0.478703005106869,"Tufts University",138.164786080525,0.138164786080525,"Herald Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.063187, 42.345901)
"C32027","Franklin Park - Seaver St at Humboldt Ave","Year Round","Boston",15,162,2133.70466059764,2.13370466059764,"Gordon-Conwell Theological Seminary",1296.74105015579,1.29674105015579,"Stony Brook","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.092225, 42.309796)
"C32028","The Lawn on D","Year Round","Boston",19,163,1621.8215433319,1.6218215433319,"Tufts University",410.990890825676,0.410990890825676,"World Trade Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.044024, 42.344792)
"C32029","W Broadway at D St","Year Round","Boston",23,161,1522.43139015467,1.52243139015467,"Tufts University",608.850884999521,0.608850884999521,"Broadway","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0514432, 42.3391085)
"C32030","Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave","Year Round","Boston",14,170,2388.36860575437,2.38836860575437,"Jupiter Beauty Academy",1964.5448330352,1.9645448330352,"Fields Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.085347, 42.303469)
"C32032","Congress St at Northern Ave","Year Round","Boston",15,186,2045.32912156695,2.04532912156695,"Tufts University",119.391309182034,0.119391309182034,"Northern Ave","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03764, 42.3481)
"C32033","Savin Hill T Stop - S Sydney St at Bay St","Year Round","Boston",14,173,524.382998924908,0.524382998924908,"Jupiter Beauty Academy",26.9640794916245,0.0269640794916245,"Savin Hill","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0539, 42.3106)
"C32034","Watermark Seaport - Boston Wharf Rd at Seaport Blvd","Year Round","Boston",15,218,1379.71987419912,1.37971987419912,"Tufts University",132.486420030448,0.132486420030448,"Courthouse","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.04569256, 42.351586)
"C32035","Troy Boston","Year Round","Boston",14,222,693.569758794278,0.693569758794278,"Benjamin Franklin Cummings Institute of Technology",293.977705552313,0.293977705552313,"East Berkeley Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.062256, 42.343749)
"C32036","Seaport Blvd at Sleeper St","Year Round","Boston",15,157,1159.83101181805,1.15983101181805,"Suffolk University",137.576658991096,0.137576658991096,"Courthouse","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.04817357, 42.35317809)
"C32037","Four Corners - 157 Washington St","Year Round","Boston",11,232,1885.37575312775,1.88537575312775,"Jupiter Beauty Academy",1500.50311238394,1.50050311238394,"Fields Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07929528, 42.30412793)
"C32038","Washington St at Talbot Ave","Year Round","Boston",17,349,2174.86412718439,2.17486412718439,"Jupiter Beauty Academy",580.420257935191,0.580420257935191,"Shawmut","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.071806, 42.290333)
"C32040","Gallivan Blvd at Adams St","Year Round","Boston",15,258,711.791573621773,0.711791573621773,"Millennium Training Institute",601.718308523059,0.601718308523059,"Cedar Grove","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05466698, 42.28297568)
