"Number","Name","Seasonal_Status","Municipality","Total_Docks","Station_ID","Distance_to_Nearest_College","Distance_to_Nearest_College_km","Nearest_College","Distance_to_Nearest_MBTA","Distance_to_Nearest_MBTA_km","Nearest_Station","County","2023POP","Largest Age Group","Age Group Percentage","geometry"
"M32048","Third at Binney","Year Round","Cambridge",15,185,987.787651824794,0.987787651824794,"Massachusetts Institute of Technology",438.675691812422,0.438675691812422,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08277142, 42.36544486)
"M32049","Child Street at Brian P. Murphy Staircase","Year Round","Cambridge",23,195,243.539553407119,0.243539553407119,"Hult International Business School",254.691114053778,0.254691114053778,"Community College","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.07200496, 42.37197678)
"M32050","Verizon Innovation Hub 10 Ware Street","Year Round","Cambridge",19,221,378.492725432587,0.378492725432587,"Harvard University",509.635204999583,0.509635204999582,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.11305356, 42.37250865)
"M32051","Fresh Pond Reservation","Year Round","Cambridge",17,224,1277.09775075826,1.27709775075826,"Harvard-Smithsonian",1499.19351442936,1.49919351442936,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.14347895, 42.38267828)
"M32052","Cambridge Dept. of Public Works -147 Hampshire St.","Year Round","Cambridge",19,225,1358.04909823193,1.35804909823193,"Massachusetts Institute of Technology",727.074340729383,0.727074340729383,"Union Square","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.09759867, 42.37119728)
"M32053","One Memorial Drive","Year Round","Cambridge",19,228,880.723963482991,0.880723963482991,"Fisher College",481.13685741007,0.48113685741007,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08043551, 42.36161932)
"M32054","699 Mt Auburn St","Year Round","Cambridge",25,333,1850.32938174396,1.85032938174396,"Harvard-Smithsonian",2410.76494408745,2.41076494408745,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.14871614, 42.37500235)
"M32055","Harvard St at Greene-Rose Heritage Park","Year Round","Cambridge",19,335,747.73710362974,0.74773710362974,"Massachusetts Institute of Technology",709.480607898445,0.709480607898445,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.09522222, 42.36599433)
"M32056","Mass Ave at Hadley/Walden","Year Round","Cambridge",19,334,1162.22565208001,1.16222565208001,"Harvard-Smithsonian",430.722404227701,0.430722404227701,"Porter","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.12260755, 42.39120972)
"M32057","Vassal Lane at Tobin/VLUS","Year Round","Cambridge",19,367,906.531565190994,0.906531565190994,"Harvard-Smithsonian",1247.25957546805,1.24725957546805,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.13775671, 42.38536765)
"M32058","84 Cambridgepark Dr","Year Round","Cambridge",27,319,1873.15701822952,1.87315701822952,"Harvard-Smithsonian",319.382779434717,0.319382779434717,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.143941, 42.3936)
"M32059","Ames St at Broadway","Year Round","Cambridge",19,318,570.783014316173,0.570783014316173,"Massachusetts Institute of Technology",181.538068956662,0.181538068956662,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.0875672, 42.3636929)
"M32060","700 Huron Ave","Year Round","Cambridge",19,371,2147.33895982204,2.14733895982204,"Harvard-Smithsonian",1971.41095588287,1.97141095588287,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.15412891, 42.38078817)
"M32061","Mass Ave at Albany St","Year Round","Cambridge",18,380,430.297647611004,0.430297647611004,"Massachusetts Institute of Technology",740.55293920119,0.74055293920119,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.09670274, 42.36135838)
"M32062","Inman Square at Springfield St.","Year Round","Cambridge",25,381,1138.10767878928,1.13810767878928,"Harvard University",555.059876177503,0.555059876177503,"Union Square","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.10026479, 42.37426714)
"M32063","Sennott Park Broadway at Norfolk Street","Year Round","Cambridge",19,386,1157.89100393881,1.15789100393881,"Massachusetts Institute of Technology",511.838910958227,0.511838910958227,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.09930186, 42.36860524)
"M32064","75 Binney St","Year Round","Cambridge",19,398,923.100811904212,0.923100811904212,"Hult International Business School",604.647018474164,0.604647018474164,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.0801376, 42.36550729)
"M32065","Kennedy-Longfellow School 158 Spring St","Year Round","Cambridge",19,413,1205.53652370299,1.20553652370299,"Massachusetts Institute of Technology",794.354704597611,0.79435470459761,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08579015, 42.36955298)
"M32066","Discovery Park - 30 Acorn Park Drive","Year Round","Cambridge",23,414,2449.06987672997,2.44906987672997,"Harvard-Smithsonian",523.202646289701,0.523202646289701,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.14797131, 42.39790817)
"M32067","Berkshire Street at Cambridge Street","Year Round","Cambridge",19,437,1384.22591358766,1.38422591358766,"Massachusetts Institute of Technology",732.113307733882,0.732113307733882,"Union Square","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08995434, 42.37207658)
"M32068","Graham and Parks School – Linnaean St at Walker St","Year Round","Cambridge",19,456,327.268581604388,0.327268581604388,"Harvard-Smithsonian",743.581980345368,0.743581980345368,"Porter","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.12449831, 42.3829443)
"M32069","Smith Pl at Wilson Rd","Year Round","Cambridge",19,463,2212.1881280773,2.2121881280773,"Harvard-Smithsonian",812.004249174088,0.812004249174088,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.15058332, 42.39239749)
"M32070","MIT Carleton St at Amherst St","Year Round","Cambridge",27,471,442.003037304875,0.442003037304875,"Massachusetts Institute of Technology",212.454275160287,0.212454275160287,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08669817, 42.36054174)
"M32071","MIT Hayward St at Amherst St","Year Round","Cambridge",27,472,544.334449178778,0.544334449178778,"Massachusetts Institute of Technology",181.635960859721,0.181635960859721,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08551858, 42.36085937)
"M32072","Galileo Galilei Way at Main Street","Year Round","Cambridge",19,479,408.513188781113,0.408513188781113,"Massachusetts Institute of Technology",298.832698938237,0.298832698938237,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08974038, 42.36300378)
"M32073","955 Mass Ave","Year Round","Cambridge",19,515,833.049336336874,0.833049336336874,"Harvard University",639.394544245271,0.639394544245271,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.1099878, 42.36895181)
"M32074","Concord Ave at Spinelli Place","Year Round","Cambridge",19,532,2357.64961561557,2.35764961561557,"Harvard-Smithsonian",1140.82838438388,1.14082838438388,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.1538877, 42.390719)
"M32075","Danehy Park at New Street","Year Round","Cambridge",19,533,1261.50331365769,1.26150331365769,"Harvard-Smithsonian",782.518575233363,0.782518575233363,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.139019, 42.389456)
"M32076","Old Morse Park at Putnam Ave","Year Round","Cambridge",15,544,1148.13312804054,1.14813312804054,"Boston University",855.020938590498,0.855020938590498,"Boston University Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.10841334, 42.35766248)
"M32077","Cambridge Crossing at North First Street","Year Round","Cambridge",23,553,468.947229506867,0.468947229506867,"Hult International Business School",59.278955494816,0.059278955494816,"Lechmere","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.076198, 42.371141)
"M32078","Galileo Galilei Way at Fulkerson St/Binney St","Year Round","Cambridge",19,557,796.600650097447,0.796600650097447,"Massachusetts Institute of Technology",485.404217947115,0.485404217947115,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.0885418, 42.3664204)
"M32079","Raymond Park at Walden St","Year Round","Cambridge",19,564,648.141815430761,0.648141815430761,"Harvard-Smithsonian",705.713436026376,0.705713436026376,"Porter","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.12761001, 42.38736954)
"M32080","Main Street/Albany Street/Technology Square","Year Round","Cambridge",23,566,355.63897913182,0.35563897913182,"Massachusetts Institute of Technology",444.948667688887,0.444948667688887,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.0915669, 42.3629016)
"M32081","Gore Street at Lambert Street","Year Round","Cambridge",19,582,1329.68012866055,1.32968012866055,"Hult International Business School",708.271424220531,0.708271424220531,"East Somerville","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08634234, 42.3730798)
"M32082","Broad Canal Way at Third Street","Year Round","Cambridge",19,583,833.537522694784,0.833537522694784,"Massachusetts Institute of Technology",281.687734879558,0.281687734879558,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08287079, 42.3630455)
"M32083","John Ahern Field at Kennedy-Longfellow School","Year Round","Cambridge",19,590,1135.49463608368,1.13549463608368,"Massachusetts Institute of Technology",736.211669224177,0.736211669224177,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.0863096, 42.36903567)
"M32084","87-101 Cambridgepark Drive","Year Round","Cambridge",23,NA,2021.10196454605,2.02110196454605,"Harvard-Smithsonian",202.30772143867,0.20230772143867,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.14421904, 42.39522187)
"M32085","Mass Ave/Lafayette Square","Year Round","Cambridge",15,NA,817.761115519529,0.817761115519529,"Massachusetts Institute of Technology",347.468712211652,0.347468712211652,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.10044184, 42.36356499)
"M32086","Morgan Ave at North First St","Year Round","Cambridge",23,NA,476.973552509985,0.476973552509985,"Hult International Business School",66.4999672845793,0.0664999672845793,"Lechmere","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.07585847, 42.37197726)
"M32087","Church St","Year Round","Cambridge",15,NA,197.462135514181,0.197462135514181,"Harvard University",71.189628548228,0.071189628548228,"Harvard","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.11966431, 42.37433925)
"M32088","55 Wheeler Street","Year Round","Cambridge",23,NA,1666.47242276247,1.66647242276247,"Harvard-Smithsonian",608.989222526547,0.608989222526547,"Alewife","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.143946, 42.390821)
"Z32998","Broadway at Kittie Knox Bike Path","Year Round","Cambridge",23,NA,617.829042491439,0.617829042491439,"Massachusetts Institute of Technology",214.112519127035,0.214112519127035,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08738632, 42.36412659)
"M32089","Moore Youth Center","Year Round","Cambridge",15,NA,964.131175405164,0.964131175405164,"Harvard University",680.485243564912,0.680485243564912,"Central","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.111698, 42.363539)
"M32090","O'Brien Highway at First Street","Year Round","Cambridge",19,NA,499.748571594082,0.499748571594082,"Hult International Business School",71.9284273122008,0.0719284273122008,"Lechmere","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.076638, 42.370982)
"M32091","325 Binney St.","Year Round","Cambridge",19,NA,868.394960871837,0.868394960871837,"Massachusetts Institute of Technology",582.935114304641,0.582935114304641,"Kendall/MIT","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.08903, 42.36722)
"M32001","Lechmere Station at Cambridge St / First St","Year Round - Currently Stored","Cambridge",19,NA,484.68149159303,0.48468149159303,"Hult International Business School",105.076629963823,0.105076629963823,"Lechmere","MIDDLESEX",118214,"20-29 year olds",0.32,c(-71.076529, 42.370677)
"H32001","Cary Square","Year Round","Chelsea",12,503,995.321393767798,0.995321393767798,"Bunker Hill Community College",378.995872252348,0.378995872252348,"Bellingham Square","SUFFOLK",38319,"30-39 year olds",0.19,c(-71.03070972, 42.39813565)
"H32002","Bellingham Square","Year Round","Chelsea",11,504,589.081143041742,0.589081143041742,"Bunker Hill Community College",245.333641014689,0.245333641014689,"Bellingham Square","SUFFOLK",38319,"30-39 year olds",0.19,c(-71.0334456, 42.39319611)
"H32003","Chelsea Square","Year Round","Chelsea",11,505,348.550966273061,0.348550966273061,"Bunker Hill Community College",711.926762993728,0.711926762993728,"Bellingham Square","SUFFOLK",38319,"30-39 year olds",0.19,c(-71.03857018, 42.39022671)
"H32004","Broadway at Gerrish Ave","Year Round","Chelsea",11,506,819.699659831877,0.819699659831877,"Bunker Hill Community College",201.592393398708,0.201592393398708,"Box District","SUFFOLK",38319,"30-39 year olds",0.19,c(-71.03085594, 42.39453079)
"H32005","Chelsea Station","Year Round","Chelsea",11,507,381.915787094922,0.381915787094922,"Bunker Hill Community College",64.7433226085673,0.0647433226085673,"Chelsea","SUFFOLK",38319,"30-39 year olds",0.19,c(-71.03987179, 42.39636528)
"H32006","855 Broadway","Year Round","Chelsea",11,508,1499.25595029473,1.49925595029473,"Bunker Hill Community College",607.242165287008,0.607242165287008,"Box District","SUFFOLK",38319,"30-39 year olds",0.19,c(-71.02390923, 42.39841773)
"V32001","7 Acre Park","Year Round","Everett",15,387,1237.0503828904,1.2370503828904,"Flavia Leal Beauty School",1301.39245393922,1.30139245393922,"Wellington","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.06823265, 42.41143223)
"V32003","Everett Square (Broadway at Chelsea St)","Year Round","Everett",16,389,102.17611322883,0.10217611322883,"Flavia Leal Beauty School",1688.57002236316,1.68857002236316,"Chelsea","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.055786, 42.406872)
"V32004","Broadway at Lynde St","Year Round","Everett",15,390,1453.85286024788,1.45385286024788,"Flavia Leal Beauty School",1071.4740488115,1.0714740488115,"Assembly","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.0654676, 42.39648358)
"V32005","Encore","Year Round","Everett",15,391,854.214893672257,0.854214893672257,"Lincoln Technical Institute",404.406126186445,0.404406126186445,"Assembly","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.0724476, 42.39329263)
"V32006","Glendale Square (Ferry St at Broadway)","Year Round","Everett",15,392,1155.80699073151,1.15580699073151,"Flavia Leal Beauty School",1976.02337239831,1.97602337239831,"Chelsea","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.04479656, 42.41427294)
"V32007","Swan St. Park","Year Round","Everett",15,393,711.964068120746,0.711964068120746,"Flavia Leal Beauty School",1946.46640035282,1.94646640035282,"Wellington","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.05842225, 42.41250451)
"V32008","Broadway at Maple St","Year Round","Everett",14,394,427.930288540398,0.427930288540398,"Flavia Leal Beauty School",1809.33975495682,1.80933975495682,"Chelsea","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.05260458, 42.41034691)
"V32011","Broadway at Beacham St","Year Round","Everett",15,397,1202.10382187732,1.20210382187732,"Flavia Leal Beauty School",1161.07600564815,1.16107600564815,"Wellington","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.06373843, 42.3983606)
"V32012","Hale Park","Year Round","Everett",11,448,961.383015566864,0.961383015566864,"Flavia Leal Beauty School",2163.25678330243,2.16325678330243,"Malden Center","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.0528183, 42.4153271)
"V32013","Kearins Playground","Year Round","Everett",11,482,486.631787257941,0.486631787257941,"Flavia Leal Beauty School",1456.728787917,1.456728787917,"Wellington","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.06041655, 42.40616124)
"V32015","Gramsdorf Playground","Year Round","Everett",14,586,968.591829663322,0.968591829663322,"Flavia Leal Beauty School",1279.16239959773,1.27916239959773,"Chelsea","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.0429, 42.408156)
"V32016","Chelsea St at Vine St","Year Round","Everett",11,395,704.458211485248,0.704458211485248,"Flavia Leal Beauty School",925.349714771361,0.925349714771361,"Chelsea","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.04731441, 42.40336946)
"V32009","Pope John High School","Winter Storage","Everett",15,NA,1731.9833626525,1.7319833626525,"Flavia Leal Beauty School",2567.40122935936,2.56740122935936,"Malden Center","MIDDLESEX",50318,"30-39 year olds",0.19,c(-71.04419768, 42.4203487)
"G32001","Malden Center T Station","Year Round","Malden",11,584,300.221647465209,0.300221647465209,"Empire Beauty School",93.3640630139757,0.0933640630139757,"Malden Center","MIDDLESEX",65133,"20-29 year olds",0.18,c(-71.073179, 42.426541)
"G32002","Northern Strand at Main St","Year Round","Malden",11,585,571.036183561102,0.571036183561102,"New England Hair Academy",614.924612652319,0.614924612652318,"Malden Center","MIDDLESEX",65133,"20-29 year olds",0.18,c(-71.067793, 42.42386)
"G32003","Malden High School","Year Round","Malden",11,587,455.229913845588,0.455229913845588,"New England Hair Academy",851.839384741806,0.851839384741806,"Malden Center","MIDDLESEX",65133,"20-29 year olds",0.18,c(-71.06393695, 42.42653766)
"V32014","Wellington MBTA","Year Round","Medford",19,565,1370.70426157962,1.37070426157962,"Lincoln Technical Institute",133.502434034405,0.133502434034405,"Wellington","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.07573182, 42.4023682)
"F32001","Main St at Brooks Park","Year Round","Medford",11,576,739.403647124446,0.739403647124446,"Tufts University",675.710003979449,0.675710003979449,"Medford/Tufts","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.110444, 42.411709)
"F32002","Medford Sq - Riverside Ave at River St","Year Round","Medford",11,577,977.322259941248,0.977322259941248,"Lawrence Memorial Hospital/Regis College School of Nursing",1263.57750255736,1.26357750255736,"Medford/Tufts","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.108102, 42.417724)
"F32003","Tufts Sq - Main St at Medford St","Year Round","Medford",11,578,1257.50811107454,1.25750811107454,"Tufts University",443.431873558898,0.443431873558898,"Ball Square","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.106128, 42.401697)
"F32006","Hormel Stadium","Year Round","Medford",11,NA,1798.11246712511,1.79811246712511,"Tufts University",1442.19229614004,1.44219229614004,"Ball Square","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.09651506, 42.40721644)
"F32004","Harris Park","Year Round","Medford",11,NA,1893.31585877042,1.89331585877042,"Empire Beauty School",1072.47063945488,1.07247063945488,"Wellington","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.08152866, 42.41081837)
"F32005","Haines Square","Year Round","Medford",11,NA,1285.00012534244,1.28500012534244,"Empire Beauty School",1435.84026925051,1.43584026925051,"Malden Center","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.09124541, 42.42333137)
"ZZ32996","Auburn St. at Mystic River","Year Round","Medford",11,NA,310.737178210243,0.310737178210243,"Elizabeth Grady School of Esthetics and Massage Therapy",1191.76332830584,1.19176332830584,"Medford/Tufts","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.12608128, 42.4175909)
"F32007","West Medford Square (Bower St at Harvard Ave)","Year Round","Medford",11,NA,884.918192091567,0.884918192091567,"Elizabeth Grady School of Esthetics and Massage Therapy",1844.58877623937,1.84458877623937,"Medford/Tufts","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.133483, 42.420647)
"F32008","Logan Park","Year Round","Medford",11,NA,1502.50508041091,1.50250508041091,"Lawrence Memorial Hospital/Regis College School of Nursing",2011.81152027735,2.01181152027735,"Medford/Tufts","MIDDLESEX",58744,"20-29 year olds",0.2,c(-71.09657221, 42.41800743)
"N32000","Centre St at Washington St","Offline for Winter","Newton",11,466,1667.38947106531,1.66738947106531,"Boston College",2354.71589066191,2.35471589066191,"Boston College","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.18641943, 42.35574335)
"N32001","Washington St at Crafts St","Offline for Winter","Newton",11,467,1415.74346740405,1.41574346740405,"Boston College",2782.76850340392,2.78276850340392,"Newton Centre","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.19943707, 42.35389024)
"N32002","Nonantum Library","Offline for Winter","Newton",15,468,2186.4696839847,2.1864696839847,"Boston College",3556.35594191358,3.55635594191358,"Newton Centre","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.201462, 42.36068456)
"N32003","Bacon St at Washington St","Offline for Winter","Newton",11,469,1821.07120293127,1.82107120293127,"Boston College",2449.76397808336,2.44976397808336,"Boston College","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.18604537, 42.35711921)
"N32005","West Newton","Offline for Winter","Newton",15,473,1458.14560932606,1.45814560932606,"Lasell University",2329.57126414834,2.32957126414834,"Woodland","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.22627497, 42.3496005)
"N32008","Langley Lot","Offline for Winter","Newton",11,486,616.461706359152,0.616461706359152,"Hebrew College",130.128967295965,0.130128967295965,"Newton Centre","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.192861, 42.330528)
"N32009","Boston College T","Year Round","Newton",17,523,557.226302861562,0.557226302861561,"Boston College",31.1994593192769,0.0311994593192769,"Boston College","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.16708934, 42.33987892)
"N32010","Newton Highlands T","Offline for Winter","Newton",15,524,1467.25755822427,1.46725755822427,"Hebrew College",78.4715710040259,0.0784715710040259,"Newton Highlands","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.20637298, 42.32206566)
"N32011","California at Chapel","Offline for Winter","Newton",12,525,2362.43573046687,2.36243573046687,"NV My Hair Academy",4019.31269860161,4.01931269860161,"Boston College","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.20236039, 42.36514871)
"N32012","Beacon at Walnut","Offline for Winter","Newton",15,526,1516.67326246743,1.51667326246743,"Hebrew College",862.611338934483,0.862611338934483,"Newton Highlands","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.20668411, 42.33006232)
"N32013","Newton Library","Offline for Winter","Newton",13,527,1297.79267783093,1.29779267783093,"Boston College",1475.5732059447,1.4755732059447,"Newton Centre","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.20779455, 42.33620337)
"N32014","Washington St at Walnut St","Offline for Winter","Newton",11,528,1554.1532025886,1.5541532025886,"Boston College",2754.04313361633,2.75404313361633,"Newton Centre","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.20764971, 42.35145812)
"N32015","Auburndale","Offline for Winter","Newton",15,535,749.933826887808,0.749933826887808,"Lasell University",1248.81491076995,1.24881491076995,"Riverside","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.24775946, 42.34805541)
"N32018","Centre St at Commonwealth Ave","Offline for Winter","Newton",11,559,622.397685073538,0.622397685073538,"Boston College",763.490337953427,0.763490337953427,"Newton Centre","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.1934421, 42.3362358)
"N32006","Watertown St at Albemarle Rd","Offline for Winter","Newton",11,474,2019.28917809806,2.01928917809806,"NV My Hair Academy",3262.67793284163,3.26267793284163,"Newton Centre","MIDDLESEX",88415,"10-19 year olds",0.15,c(-71.21382214, 42.35410408)
"R32006","Revere City Hall","Year Round","Revere",11,485,2718.02996258573,2.71802996258573,"Bunker Hill Community College",1757.36798585209,1.75736798585209,"Revere Beach","SUFFOLK",57954,"30-39 year olds",0.17,c(-71.0139, 42.40741)
"R32007","Revere Public Library","Year Round","Revere",11,484,3096.29081352398,3.09629081352398,"Bunker Hill Community College",1349.91421942388,1.34991421942388,"Revere Beach","SUFFOLK",57954,"30-39 year olds",0.17,c(-71.008942, 42.408088)
"R32002","Orr Sq (Shirley Ave)","Year Round","Revere",11,541,4018.08931078767,4.01808931078767,"East Boston Beauty Academy",78.3877957102484,0.0783877957102484,"Revere Beach","SUFFOLK",57954,"30-39 year olds",0.17,c(-70.9927243, 42.40715656)
"R32001","Sumner St at Shirley Ave","Year Round","Revere",11,540,3845.55509048581,3.84555509048581,"East Boston Beauty Academy",458.565857794125,0.458565857794125,"Revere Beach","SUFFOLK",57954,"30-39 year olds",0.17,c(-70.99804848, 42.40833706)
"T32001","Salem Ferry Landing","Offline for Winter","Salem",11,516,2180.75008970706,2.18075008970706,"Salem State University",15078.3960127541,15.0783960127541,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.88069111, 42.52189284)
"T32002","Salem Willows Park","Offline for Winter","Salem",15,517,3826.81915443226,3.82681915443226,"Salem State University",16730.1613865302,16.7301613865302,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.8702144, 42.53466911)
"T32003","Shetland Park - Congress at Peabody St","Year Round","Salem",11,518,1641.06421642048,1.64106421642048,"Salem State University",14333.0541154075,14.3330541154075,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.88952363, 42.51836788)
"T32004","Mayor Salvo Path at Mill St","Year Round","Salem",11,519,1661.30086049689,1.66130086049689,"Salem State University",14012.6261626772,14.0126261626772,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.89570075, 42.5180352)
"T32005","Salem MBTA - Washington at Federal St","Year Round","Salem",13,520,2254.78489380785,2.25478489380785,"Salem State University",14496.8025601805,14.4968025601805,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.89611113, 42.52345239)
"T32006","Lafayette at Leach St","Year Round","Salem",11,521,876.261268460677,0.876261268460677,"Salem State University",13599.4553541279,13.5994553541279,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.89183301, 42.51142784)
"T32007","Salem State University - Bike Path at Loring Ave","Year Round","Salem",15,522,413.767777608191,0.413767777608191,"Salem State University",12609.2485221838,12.6092485221838,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.89478076, 42.50182399)
"T32008","Hawthorne Boulevard","Year Round","Salem",9,562,2084.79767294794,2.08479767294794,"Salem State University",14658.9142175533,14.6589142175533,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.8903331, 42.5223714)
"T32009","Salem State University - North Campus","Year Round","Salem",11,570,94.3878492913887,0.0943878492913887,"Salem State University",12912.2451051287,12.9122451051287,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.891444, 42.503332)
"T32011","Essex St at Dalton Parkway","Year Round","Salem",11,572,1873.48506243973,1.87348506243973,"Salem State University",13404.7801519627,13.4047801519627,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.905535, 42.516223)
"T32010","Forest River Park","Year Round","Salem",11,571,417.37683956259,0.41737683956259,"Salem State University",13410.6339246703,13.4106339246703,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.88693, 42.506395)
"T32012","Salem MBTA - Lower Level","Year Round","Salem",11,573,2326.61539642998,2.32661539642998,"Salem State University",14515.4302174021,14.5154302174021,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.89684, 42.523994)
"T32013","Community Life Center","Year Round","Salem",9,574,2252.14028909794,2.25214028909794,"Salem State University",13745.7192787974,13.7457192787974,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.906271, 42.520136)
"T32014","Goodhue St at Grove St","Year Round","Salem",11,575,2534.12279583263,2.53412279583263,"Salem State University",13645.1912606368,13.6451912606368,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.910528, 42.520897)
"T32015","North St at Liberty Hill Ave","Year Round","Salem",11,589,3195.35546638814,3.19535546638814,"Salem State University",14695.470197467,14.695470197467,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.90614259, 42.52989965)
"T32017","Vinnin Square","Year Round","Salem",11,NA,2138.79936977053,2.13879936977053,"Salem State University",10931.2338824221,10.9312338824221,"Wonderland","ESSEX",44744,"20-29 year olds",0.17,c(-70.90166733, 42.48628785)
